scientific name,labels,status
PERDIX PERDIX,GREY PARTRIDGE,R
PHASIANUS COLCHICUS,COMMON PHEASANT,CRI
BONASA UMBELLUS,RUFFED GROUSE,O
CENTROCERCUS UROPHASIANUS,SAGE GROUSE,V
TYMPANUCHUS PHASIANELLUS,SHARP-TAILED GROUSE,CR
MELEAGRIS GALLOPAVO,WILD TURKEY,V
OXYURA JAMAICENSIS,RUDDY DUCK,M
CYGNUS BUCCINATOR,TRUMPETER SWAN,V
CYGNUS COLUMBIANUS,TUNDRA SWAN,M
ANSER ALBIFRONS,GREATER WHITE-FRONTED GOOSE,M
ANSER CAERULESCENS,SNOW GOOSE,M
CHEN ROSSII,ROSS'S GOOSE,M
BRANTA CANADENSIS,CANADA GOOSE,R
BRANTA BERNICLA,BRENT GOOSE,V
AIX SPONSA,WOOD DUCK,M
ANAS STREPERA,GADWALL,M
ANAS PENELOPE,EURASIAN WIGEON,V
ANAS AMERICANA,AMERICAN WIGEON,M
ANAS PLATYRHYNCHOS,MALLARD,R
ANAS DISCORS,BLUE-WINGED TEAL,M
ANAS CYANOPTERA,CINNAMON TEAL,V
ANAS CLYPEATA,NORTHERN SHOVELER,M
ANAS ACUTA,NORTHERN PINTAIL,M
ANAS CRECCA,COMMON TEAL,M
AYTHYA VALISINERIA,CANVASBACK,M
AYTHYA AMERICANA,REDHEAD,M
AYTHYA COLLARIS,RING-NECKED DUCK,M
AYTHYA MARILA,GREATER SCAUP,M
AYTHYA AFFINIS,LESSER SCAUP,M
HISTRIONICUS HISTRIONICUS,HARLEQUIN DUCK,V
CLANGULA HYEMALIS,LONG-TAILED DUCK,V
MELANITTA PERSPICILLATA,SURF SCOTER,O
MELANITTA FUSCA,WHITE-WINGED SCOTER,V
BUCEPHALA ISLANDICA,BARROW'S GOLDENEYE,V
BUCEPHALA ALBEOLA,BUFFLEHEAD,M
LOPHODYTES CUCULLATUS,HOODED MERGANSER,M
MERGUS SERRATOR,RED-BREASTED MERGANSER,M
MERGUS MERGANSER,COMMON MERGANSER,M
MELANERPES ERYTHROCEPHALUS,RED-HEADED WOODPECKER,V
SPHYRAPICUS VARIUS,YELLOW-BELLIED SAPSUCKER,M
SPHYRAPICUS NUCHALIS,RED-NAPED SAPSUCKER,V
PICOIDES PUBESCENS,DOWNY WOODPECKER,C
PICOIDES VILLOSUS,HAIRY WOODPECKER,C
PICOIDES ARCTICUS,BLACK-BACKED WOODPECKER,V
COLAPTES AURATUS,NORTHERN FLICKER,R
DRYOCOPUS PILEATUS,PILEATED WOODPECKER,M
MEGACERYLE ALCYON,BELTED KINGFISHER,M
COCCYZUS ERYTHROPTHALMUS,BLACK-BILLED CUCKOO,V
ARCHILOCHUS COLUBRIS,RUBY-THROATED HUMMINGBIRD,W
SELASPHORUS RUFUS,RUFOUS HUMMINGBIRD,V
BUBO VIRGINIANUS,GREAT HORNED OWL,C
NYCTEA SCANDIACA,SNOWY OWL,M
STRIX VARIA,BARRED OWL,V
SURNIA ULULA,NORTHERN HAWK OWL,V
SPEOTYTO CUNICULARIA,BURROWING OWL,M
AEGOLIUS FUNEREUS,BOREAL OWL,V
AEGOLIUS ACADICUS,SAW-WHET OWL,V
ASIO OTUS,LONG-EARED OWL,V
ASIO FLAMMEUS,SHORT-EARED OWL,M
CHORDEILES MINOR,COMMON NIGHTHAWK,W
COLUMBA LIVIA,ROCK DOVE,R
ZENAIDA MACROURA,MOURNING DOVE,M
GRUS CANADENSIS,SANDHILL CRANE,M
GRUS AMERICANA,WHOOPING CRANE,V
COTURNICOPS NOVEBORACENSIS,YELLOW RAIL,V
RALLUS LIMICOLA,VIRGINIA RAIL,V
PORZANA CAROLINA,SORA,W
FULICA AMERICANA,AMERICAN COOT,M
GALLINAGO GALLINAGO,COMMON SNIPE,M
LIMOSA HAEMASTICA,HUDSONIAN GODWIT,O
LIMOSA FEDOA,MARBLED GODWIT,M
NUMENIUS PHAEOPUS,WHIMBREL,V
NUMENIUS AMERICANUS,LONG-BILLED CURLEW,O
BARTRAMIA LONGICAUDA,UPLAND SANDPIPER,W
TRINGA MELANOLEUCA,GREATER YELLOWLEGS,M
TRINGA FLAVIPES,LESSER YELLOWLEGS,M
TRINGA SOLITARIA,SOLITARY SANDPIPER,M
ACTITIS MACULARIA,SPOTTED SANDPIPER,W
CATOPTROPHORUS SEMIPALMATUS,WILLET,M
ARENARIA INTERPRES,RUDDY TURNSTONE,V
LIMNODROMUS GRISEUS,SHORT-BILLED DOWITCHER,O
LIMNODROMUS SCOLOPACEUS,LONG-BILLED DOWITCHER,O
CALIDRIS CANUTUS,RED KNOT,V
CALIDRIS ALBA,SANDERLING,V
CALIDRIS PUSILLA,SEMIPALMATED SANDPIPER,M
CALIDRIS MINUTILLA,LEAST SANDPIPER,M
CALIDRIS FUSCICOLLIS,WHITE-RUMPED SANDPIPER,V
CALIDRIS BAIRDII,BAIRD'S SANDPIPER,O
CALIDRIS MELANOTOS,PECTORAL SANDPIPER,O
CALIDRIS HIMANTOPUS,STILT SANDPIPER,O
PHALAROPUS LOBATUS,RED-NECKED PHALAROPE,V
HIMANTOPUS MEXICANUS,BLACK-NECKED STILT,V
RECURVIROSTRA AMERICANA,AMERICAN AVOCET,M
PLUVIALIS DOMINICA,AMERICAN GOLDEN-PLOVER,O
PLUVIALIS SQUATAROLA,GREY PLOVER,O
CHARADRIUS SEMIPALMATUS,SEMIPALMATED PLOVER,V
CHARADRIUS VOCIFERUS,KILLDEER,N
CHARADRIUS MELODUS,PIPING PLOVER,V
STERCORARIUS PARASITICUS,PARASITIC JAEGER,V
LARUS CANUS,COMMON GULL,V
LARUS DELAWARENSIS,RING-BILLED GULL,M
LARUS CALIFORNICUS,CALIFORNIA GULL,M
LARUS HYPERBOREUS,GLAUCOUS GULL,V
LARUS ARGENTATUS,HERRING GULL,M
LARUS PHILADELPHIA,BONAPARTE'S GULL,M
LARUS PIPIXCAN,FRANKLIN'S GULL,N
STERNA CASPIA,CASPIAN TERN,V
STERNA HIRUNDO,COMMON TERN,M
STERNA PARADISAEA,ARCTIC TERN,V
STERNA FORSTERI,FORSTER'S TERN,M
CHLIDONIAS NIGER,BLACK TERN,N
PANDION HALIAETUS,OSPREY,M
HALIAEETUS LEUCOCEPHALUS,BALD EAGLE,M
CIRCUS CYANEUS,NORTHERN HARRIER,M
ACCIPITER STRIATUS,SHARP-SHINNED HAWK,M
ACCIPITER COOPERII,COOPER'S HAWK,M
ACCIPITER GENTILIS,NORTHERN GOSHAWK,M
BUTEO PLATYPTERUS,BROAD-WINGED HAWK,V
BUTEO SWAINSONI,SWAINSON'S HAWK,N
BUTEO JAMAICENSIS,RED-TAILED HAWK,M
BUTEO REGALIS,FERRUGINOUS HAWK,M
BUTEO LAGOPUS,ROUGH-LEGGED HAWK,M
AQUILA CHRYSAETOS,GOLDEN EAGLE,M
FALCO SPARVERIUS,AMERICAN KESTREL,N
FALCO COLUMBARIUS,MERLIN,C
FALCO RUSTICOLUS,GYRFALCON,V
FALCO MEXICANUS,PRAIRIE FALCON,M
FALCO PEREGRINUS,PEREGRINE FALCON,M
PODILYMBUS PODICEPS,PIED-BILLED GREBE,M
PODICEPS GRISEGENA,RED-NECKED GREBE,N
PODICEPS AURITUS,HORNED GREBE,M
PODICEPS NIGRICOLLIS,BLACK-NECKED GREBE,M
AECHMOPHORUS OCCIDENTALIS,WESTERN GREBE,M
AECHMOPHORUS CLARKII,CLARK'S GREBE,V
PHALACROCORAX AURITUS,DOUBLE-CRESTED CORMORANT,N
ARDEA HERODIAS,GREAT BLUE HERON,M
BUBULCUS IBIS,CATTLE EGRET,V
BUTORIDES VIRESCENS,GREEN HERON,V
NYCTICORAX NYCTICORAX,BLACK-CROWNED NIGHT-HERON,M
BOTAURUS LENTIGINOSUS,AMERICAN BITTERN,M
PLEGADIS CHIHI,WHITE-FACED IBIS,V
PELECANUS ERYTHRORHYNCHOS,AMERICAN WHITE PELICAN,N
CATHARTES AURA,TURKEY VULTURE,M
GAVIA IMMER,COMMON LOON,M
GAVIA ADAMSII,YELLOW-BILLED LOON,V
CONTOPUS SORDIDULUS,WESTERN WOOD-PEWEE,V
EMPIDONAX FLAVIVENTRIS,YELLOW-BELLIED FLYCATCHER,V
EMPIDONAX ALNORUM,ALDER FLYCATCHER,M
EMPIDONAX MINIMUS,LEAST FLYCATCHER,N
SAYORNIS PHOEBE,EASTERN PHOEBE,N
SAYORNIS SAYA,SAY'S PHOEBE,O
MYIARCHUS CRINITUS,GREAT CRESTED FLYCATCHER,V
TYRANNUS VERTICALIS,WESTERN KINGBIRD,N
TYRANNUS TYRANNUS,EASTERN KINGBIRD,N
LANIUS LUDOVICIANUS,LOGGERHEAD SHRIKE,M
LANIUS EXCUBITOR,NORTHERN SHRIKE,O
VIREO SOLITARIUS,BLUE-HEADED VIREO,V
VIREO PHILADELPHICUS,PHILADELPHIA VIREO,O
VIREO OLIVACEUS,RED-EYED VIREO,N
VIREO GILVUS,EASTERN WARBLING-VIREO,M
CYANOCITTA CRISTATA,BLUE JAY,C
PERISOREUS CANADENSIS,GREY JAY,M
PICA PICA,BLACK-BILLED MAGPIE,R
CORVUS BRACHYRHYNCHOS,AMERICAN CROW,C
CORVUS CORAX,COMMON RAVEN,C
BOMBYCILLA GARRULUS,BOHEMIAN WAXWING,M
BOMBYCILLA CEDRORUM,CEDAR WAXWING,M
SIALIA SIALIS,EASTERN BLUEBIRD,O
SIALIA CURRUCOIDES,MOUNTAIN BLUEBIRD,M
MYADESTES TOWNSENDI,TOWNSEND'S SOLITAIRE,V
CATHARUS FUSCESCENS,VEERY,O
CATHARUS MINIMUS,GREY-CHEEKED THRUSH,O
CATHARUS USTULATUS,SWAINSON'S THRUSH,M
CATHARUS GUTTATUS,HERMIT THRUSH,M
TURDUS MIGRATORIUS,AMERICAN ROBIN,M
STURNUS VULGARIS,COMMON STARLING,M
DUMETELLA CAROLINENSIS,GREY CATBIRD,M
TOXOSTOMA RUFUM,BROWN THRASHER,N
TOXOSTOMA CURVIROSTRE,CURVE-BILLED THRASHER,V
SITTA CANADENSIS,RED-BREASTED NUTHATCH,R
SITTA CAROLINENSIS,WHITE-BREASTED NUTHATCH,M
CERTHIA AMERICANA,BROWN CREEPER,M
SALPINCTES OBSOLETUS,ROCK WREN,V
CISTOTHORUS PLATENSIS,SEDGE WREN,V
CISTOTHORUS PALUSTRIS,MARSH WREN,M
TROGLODYTES TROGLODYTES,WINTER WREN,V
TROGLODYTES AEDON,HOUSE WREN,N
POECILE ATRICAPILLUS,BLACK-CAPPED CHICKADEE,R
POECILE HUDSONICUS,BOREAL CHICKADEE,M
TACHYCINETA BICOLOR,TREE SWALLOW,N
PROGNE SUBIS,PURPLE MARTIN,M
STELGIDOPTERYX SERRIPENNIS,NORTHERN ROUGH-WINGED SWALLOW,M
RIPARIA RIPARIA,SAND MARTIN,M
HIRUNDO RUSTICA,BARN SWALLOW,N
PETROCHELIDON PYRRHONOTA,CLIFF SWALLOW,M
REGULUS CALENDULA,RUBY-CROWNED KINGLET,M
REGULUS SATRAPA,GOLDEN-CROWNED KINGLET,M
EREMOPHILA ALPESTRIS,HORNED LARK,C
PASSER DOMESTICUS,HOUSE SPARROW,R
ANTHUS RUBESCENS,AMERICAN PIPIT,O
ANTHUS SPRAGUEII,SPRAGUE'S PIPIT,M
CARDUELIS PINUS,PINE SISKIN,M
CARDUELIS TRISTIS,AMERICAN GOLDFINCH,M
CARDUELIS FLAMMEA,COMMON REDPOLL,M
LEUCOSTICTE TEPHROCOTIS,GREY-CROWNED ROSY-FINCH,O
CARPODACUS PURPUREUS,PURPLE FINCH,C
CARPODACUS MEXICANUS,HOUSE FINCH,R
PINICOLA ENUCLEATOR,PINE GROSBEAK,M
LOXIA CURVIROSTRA,RED CROSSBILL,M
LOXIA LEUCOPTERA,WHITE-WINGED CROSSBILL,M
HESPERIPHONA VESPERTINA,EVENING GROSBEAK,V
CALCARIUS MCCOWNII,MCCOWN'S LONGSPUR,M
CALCARIUS LAPPONICUS,LAPLAND LONGSPUR,M
CALCARIUS PICTUS,SMITH'S LONGSPUR,V
CALCARIUS ORNATUS,CHESTNUT-COLLARED LONGSPUR,M
PLECTROPHENAX NIVALIS,SNOW BUNTING,M
CALAMOSPIZA MELANOCORYS,LARK BUNTING,M
PASSERELLA ILIACA,FOX SPARROW,V
MELOSPIZA MELODIA,SONG SPARROW,M
MELOSPIZA LINCOLNII,LINCOLN'S SPARROW,M
MELOSPIZA GEORGIANA,SWAMP SPARROW,V
ZONOTRICHIA QUERULA,HARRIS'S SPARROW,O
ZONOTRICHIA ALBICOLLIS,WHITE-THROATED SPARROW,M
ZONOTRICHIA LEUCOPHRYS,WHITE-CROWNED SPARROW,M
JUNCO HYEMALIS,DARK-EYED JUNCO,C
PASSERCULUS SANDWICHENSIS,SAVANNAH SPARROW,M
AMMODRAMUS LECONTEII,LE CONTE'S SPARROW,V
AMMODRAMUS BAIRDII,BAIRD'S SPARROW,M
AMMODRAMUS SAVANNARUM,GRASSHOPPER SPARROW,O
SPIZELLA ARBOREA,AMERICAN TREE SPARROW,M
SPIZELLA PASSERINA,CHIPPING SPARROW,N
SPIZELLA PALLIDA,CLAY-COLORED SPARROW,N
SPIZELLA BREWERI,BREWER'S SPARROW,V
POOECETES GRAMINEUS,VESPER SPARROW,N
CHONDESTES GRAMMACUS,LARK SPARROW,O
PIPILO ERYTHROPHTHALMUS,EASTERN TOWHEE,O
VERMIVORA PEREGRINA,TENNESSEE WARBLER,M
VERMIVORA CELATA,ORANGE-CROWNED WARBLER,M
VERMIVORA RUFICAPILLA,NASHVILLE WARBLER,V
DENDROICA PETECHIA,YELLOW WARBLER,M
DENDROICA PENSYLVANICA,CHESTNUT-SIDED WARBLER,V
DENDROICA MAGNOLIA,MAGNOLIA WARBLER,O
DENDROICA TIGRINA,CAPE MAY WARBLER,V
DENDROICA CORONATA,YELLOW-RUMPED WARBLER,M
DENDROICA VIRENS,BLACK-THROATED GREEN WARBLER,V
DENDROICA FUSCA,BLACKBURNIAN WARBLER,V
DENDROICA DOMINICA,YELLOW-THROATED WARBLER,V
DENDROICA GRACIAE,GRACE'S WARBLER,V
DENDROICA PALMARUM,PALM WARBLER,O
DENDROICA STRIATA,BLACKPOLL WARBLER,O
MNIOTILTA VARIA,BLACK-AND-WHITE WARBLER,M
SETOPHAGA RUTICILLA,AMERICAN REDSTART,M
SEIURUS AUROCAPILLUS,OVENBIRD,M
SEIURUS NOVEBORACENSIS,NORTHERN WATERTHRUSH,O
OPORORNIS AGILIS,CONNECTICUT WARBLER,V
OPORORNIS PHILADELPHIA,MOURNING WARBLER,O
OPORORNIS TOLMIEI,MACGILLIVRAY'S WARBLER,V
GEOTHLYPIS TRICHAS,COMMON YELLOWTHROAT,M
WILSONIA PUSILLA,WILSON'S WARBLER,M
WILSONIA CANADENSIS,CANADA WARBLER,V
ICTERIA VIRENS,YELLOW-BREASTED CHAT,V
PIRANGA LUDOVICIANA,WESTFERN TANAGER,V
SPIZA AMERICANA,DICKCISSEL,V
PHEUCTICUS LUDOVICIANUS,ROSE-BREASTED GROSBEAK,O
PHEUCTICUS MELANOCEPHALUS,BLACK-HEADED GROSBEAK,V
PASSERINA AMOENA,LAZULI BUNTING,V
PASSERINA CIRIS,PAINTED BUNTING,V
ICTERUS GALBULA,BALTIMORE ORIOLE,M
ICTERUS SPURIUS,ORCHARD ORIOLE,V
XANTHOCEPHALUS XANTHOCEPHALUS,YELLOW-HEADED BLACKBIRD,N
AGELAIUS PHOENICEUS,RED-WINGED BLACKBIRD,M
STURNELLA NEGLECTA,WESTERN MEADOWLARK,N
QUISCALUS QUISCULA,COMMON GRACKLE,N
EUPHAGUS CAROLINUS,RUSTY BLACKBIRD,M
EUPHAGUS CYANOCEPHALUS,BREWER'S BLACKBIRD,M
MOLOTHRUS ATER,BROWN-HEADED COWBIRD,M
DOLICHONYX ORYZIVORUS,BOBOLINK,M
FALCIPENNIS CANADENSIS,SPRUCE GROUSE,V
PICOIDES DORSALIS,AMERICAN THREE-TOED WOODPECKER,V
PHALAROPUS TRICOLOR,WILSON'S PHALAROPE,M
ARDEA ALBA,GREAT EGRET,O
CONTOPUS COOPERI,OLIVE-SIDED FLYCATCHER,V
